,index,name,kcp
0,0,Информатика и вычислительная техника,38
1,2,Информационные системы и технологии,40
2,4,Программная инженерия,56
3,6,Радиотехника,30
4,8,Приборостроение,21
5,10,Оптотехника,10
6,12,Фотоника и оптоинформатика,11
7,14,Лазерная техника и лазерные технологии,21
8,16,Теплоэнергетика и теплотехника,11
9,18,Энергетическое машиностроение,11
10,20,Машиностроение,9
11,22,Технологические машины и оборудование,11
12,24,Прикладная механика,33
13,26,Конструкторско-технологическое обеспечение машиностроительных производств,17
14,28,Мехатроника и робототехника,22
15,31,Ракетные комплексы и космонавтика,80
16,33,Баллистика и гидроаэродинамика,14
17,35,Двигатели летательных аппаратов,19
18,37,Стандартизация и метрология,10
19,39,Управление в технических системах,11
20,46,Радиоэлектронные системы и комплексы,8
21,48,Боеприпасы и взрыватели,48
22,50,"Стрелково-пушечное, артиллерийское и ракетное оружие",19
23,52,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",27
24,54,Проектирование авиационных и ракетных двигателей,15
25,56,Навигационно-баллистическое обеспечение применения космической техники,12
26,58,Интегрированные системы летательных аппаратов,16
27,60,Системы управления летательными аппаратами,7
28,62,Специальные организационно-технические системы,14
