,abiturient_id,spec_id,status,predmet_1,predmet_2,predmet_3,predmet_1_bal,predmet_2_bal,predmet_3_bal,edu_form,fin_type,sum_bal
1,202100004,30,1,Математика,Физика,Русский язык,68,61,82,1,1,190
2,202100004,31,0,Математика,Физика,Русский язык,68,61,82,1,1,190
3,202100004,12,0,Математика,Физика,Русский язык,68,61,82,1,1,190
4,202100004,11,0,Математика,Физика,Русский язык,68,61,82,1,1,190
5,202100004,22,0,Математика,Физика,Русский язык,68,61,82,1,1,190
6,202100007,22,0,Математика,Физика,Русский язык,74,66,87,1,1,206
7,202100007,18,0,Математика,Физика,Русский язык,74,66,87,1,1,206
8,202100007,20,0,Математика,Физика,Русский язык,74,66,87,1,1,206
9,202100007,10,0,Математика,Физика,Русский язык,74,66,87,1,1,206
10,202100008,11,1,Математика,Физика,Русский язык,74,55,72,2,2,184
11,202100009,3,1,Математика,Информатика и ИКТ,Русский язык,98,88,59,2,2,274
12,202100010,11,0,Математика,Физика,Русский язык,76,14,36,2,2,104
17,202100151,26,0,Иностранный язык,Математика,Русский язык,77,70,70,1,2,217
18,202100173,3,0,Математика,Информатика и ИКТ,Русский язык,56,60,76,1,1,176
19,202100173,3,1,Математика,Информатика и ИКТ,Русский язык,56,60,76,1,2,176
23,202100298,11,0,Математика,Физика,Русский язык,45,30,54,2,2,105
24,202100077,32,0,Математика,Физика,Русский язык,45,14,59,1,1,73
25,202100077,18,0,Математика,Физика,Русский язык,45,14,59,1,1,73
27,202100340,8,0,Математика,Физика,Русский язык,70,78,67,1,1,226
28,202100340,18,0,Математика,Физика,Русский язык,70,78,67,1,1,226
29,202100340,27,1,Математика,Физика,Русский язык,70,78,67,1,1,226
30,202100340,9,0,Математика,Физика,Русский язык,70,78,67,1,1,226
31,202100340,6,0,Математика,Физика,Русский язык,70,78,67,1,1,226
32,202100303,2,0,Математика,Информатика и ИКТ,Русский язык,98,85,86,1,1,268
33,202100303,3,0,Математика,Информатика и ИКТ,Русский язык,98,85,86,1,1,268
34,202100103,35,1,Математика,Информатика и ИКТ,Русский язык,90,65,88,1,1,220
35,202100103,36,0,Математика,Информатика и ИКТ,Русский язык,90,65,88,1,1,220
36,202100304,39,1,Иностранный язык,Обществознание,Русский язык,82,63,78,1,2,208
40,202100390,11,1,Математика,Физика,Русский язык,80,57,64,2,2,194
41,202100408,22,0,Математика,Физика,Русский язык,82,64,59,1,1,210
42,202100408,21,1,Математика,Физика,Русский язык,82,64,59,1,1,210
43,202100343,11,1,Математика,Физика,Русский язык,70,49,41,2,2,168
44,202100404,3,0,Математика,Информатика и ИКТ,Русский язык,84,53,82,2,2,190
45,202100404,17,0,Математика,Информатика и ИКТ,Русский язык,84,53,82,2,2,190
