abiturient_id,status,add_time,id,name,true,ex,point,eduform_id,fintype_id
202100008,1,2021-04-09,11,Машиностроение,1,"Математика,Физика,Русский язык","74,55,72",2,2
202100009,1,2021-04-22,3,"Программная инженерия",1,"Математика,Информатика и ИКТ,Русский язык","98,88,59",2,2
202100622,1,2021-06-24,33,"Проектирование авиационных и ракетных двигателей",0,"Математика,Физика,Русский язык","72,51,76",1,1
202100622,1,2021-06-24,18,"Ракетные комплексы и космонавтика",0,"Математика,Физика,Русский язык","72,51,76",1,1
202100622,1,2021-06-24,32,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",0,"Математика,Физика,Русский язык","72,51,76",1,1
202100622,1,2021-06-24,8,"Лазерная техника и лазерные технологии",0,"Математика,Физика,Русский язык","72,51,76",1,1
202100622,1,2021-06-24,6,Оптотехника,0,"Математика,Физика,Русский язык","72,51,76",1,1
202100334,1,2021-06-28,30,"Боеприпасы и взрыватели",0,"Математика,Физика,Русский язык","62,55,78",1,1
202100334,1,2021-06-28,31,"Стрелково-пушечное, артиллерийское и ракетное оружие",0,"Математика,Физика,Русский язык","62,55,78",1,1
202101093,1,2021-06-28,30,"Боеприпасы и взрыватели",1,"Математика,Физика,Русский язык","56,47,78",1,1
202100506,1,2021-06-28,25,"Управление персоналом",1,"Математика,Обществознание,Русский язык","56,83,88",1,2
202100601,1,2021-06-29,33,"Проектирование авиационных и ракетных двигателей",0,"Математика,Физика,Русский язык","72,51,76",1,1
202100601,1,2021-06-29,8,"Лазерная техника и лазерные технологии",0,"Математика,Физика,Русский язык","72,51,76",1,1
202100601,1,2021-06-29,6,Оптотехника,0,"Математика,Физика,Русский язык","72,51,76",1,1
202100601,1,2021-06-29,32,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",0,"Математика,Физика,Русский язык","72,51,76",1,1
202100601,1,2021-06-29,18,"Ракетные комплексы и космонавтика",1,"Математика,Физика,Русский язык","72,51,76",1,1
202101251,0,2021-06-29,31,"Стрелково-пушечное, артиллерийское и ракетное оружие",0,"Математика,Физика,Русский язык","68,57,69",1,1
202101251,0,2021-06-29,30,"Боеприпасы и взрыватели",1,"Математика,Физика,Русский язык","68,57,69",1,1
202101263,1,2021-06-29,23,Экономика,1,"Математика,Обществознание,Русский язык","76,55,49",1,2
202101103,1,2021-06-28,24,Менеджмент,0,"Математика,Обществознание,Русский язык","45,52,71",1,2
202101103,1,2021-06-28,23,Экономика,1,"Математика,Обществознание,Русский язык","45,52,71",1,2
202101457,0,2021-06-30,31,"Стрелково-пушечное, артиллерийское и ракетное оружие",0,"Математика,Физика,Русский язык","74,58,76",1,1
202101457,0,2021-06-30,32,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",0,"Математика,Физика,Русский язык","74,58,76",1,1
202101457,0,2021-06-30,16,"Мехатроника и робототехника",0,"Математика,Физика,Русский язык","74,58,76",1,1
