,abiturient_id,add_time,name,true,eduform_id,fintype_id,ex_1,ex_2,ex_3,point_1,point_2,point_3
0,202100002,2021-03-04,Машиностроение,0,2,2,Математика,Физика,Русский язык,0,0,0.0
1,202100004,2021-03-17,Боеприпасы и взрыватели,1,1,1,Математика,Физика,Русский язык,68,61,82.0
2,202100004,2021-03-17,"Стрелково-пушечное, артиллерийское и ракетное оружие",0,1,1,Математика,Физика,Русский язык,68,61,82.0
3,202100004,2021-03-17,Технологические машины и оборудование,0,1,1,Математика,Физика,Русский язык,68,61,82.0
4,202100004,2021-03-17,Машиностроение,0,1,1,Математика,Физика,Русский язык,68,61,82.0
5,202100004,2021-03-17,Управление в технических системах,0,1,1,Математика,Физика,Русский язык,68,61,82.0
6,202100007,2021-04-06,Управление в технических системах,0,1,1,Математика,Физика,Русский язык,74,66,87.0
7,202100007,2021-04-06,Ракетные комплексы и космонавтика,0,1,1,Математика,Физика,Русский язык,74,66,87.0
8,202100007,2021-04-06,Двигатели летательных аппаратов,0,1,1,Математика,Физика,Русский язык,74,66,87.0
9,202100007,2021-04-06,Энергетическое машиностроение,0,1,1,Математика,Физика,Русский язык,74,66,87.0
10,202100008,2021-04-09,Машиностроение,1,2,2,Математика,Физика,Русский язык,74,55,72.0
11,202100009,2021-04-22,Программная инженерия,1,2,2,Математика,Информатика и ИКТ,Русский язык,98,88,59.0
12,202100010,2021-04-23,Машиностроение,0,2,2,Математика,Физика,Русский язык,76,14,36.0
13,202100011,2021-05-13,Программная инженерия,0,2,2,Математика,Информатика и ИКТ,Русский язык,0,0,0.0
14,202100011,2021-05-13,Машиностроение,0,2,2,Математика,Физика,Русский язык,0,0,0.0
15,202100000,2021-05-16,Боеприпасы и взрыватели,0,1,1,Математика,Физика,Русский язык,0,0,0.0
16,202100162,2021-06-03,Программная инженерия,0,2,2,Математика,Информатика и ИКТ,Русский язык,0,0,0.0
17,202100151,2021-06-03,Фундаментальная и прикладная лингвистика,0,1,2,Иностранный язык,Математика,Русский язык,77,70,70.0
18,202100173,2021-06-04,Программная инженерия,0,1,1,Математика,Информатика и ИКТ,Русский язык,56,60,76.0
19,202100173,2021-06-04,Программная инженерия,1,1,2,Математика,Информатика и ИКТ,Русский язык,56,60,76.0
20,202100231,2021-06-11,Информатика и вычислительная техника,0,1,1,Математика,Информатика и ИКТ,Русский язык,0,0,0.0
21,202100231,2021-06-11,Информационные системы и технологии,0,1,1,Математика,Информатика и ИКТ,Русский язык,0,0,0.0
22,202100231,2021-06-11,Программная инженерия,0,1,1,Математика,Информатика и ИКТ,Русский язык,0,0,0.0
23,202100298,2021-06-15,Машиностроение,0,2,2,Математика,Физика,Русский язык,45,30,54.0
24,202100077,2021-06-16,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",0,1,1,Математика,Физика,Русский язык,45,14,59.0
25,202100077,2021-06-16,Ракетные комплексы и космонавтика,0,1,1,Математика,Физика,Русский язык,45,14,59.0
26,202100339,2021-06-17,Экономика,0,3,2,Математика,Обществознание,Русский язык,0,0,0.0
27,202100340,2021-06-17,Лазерная техника и лазерные технологии,0,1,1,Математика,Физика,Русский язык,70,78,67.0
28,202100340,2021-06-17,Ракетные комплексы и космонавтика,0,1,1,Математика,Физика,Русский язык,70,78,67.0
29,202100340,2021-06-17,Радиоэлектронные системы и комплексы,1,1,1,Математика,Физика,Русский язык,70,78,67.0
30,202100340,2021-06-17,Теплоэнергетика и теплотехника,0,1,1,Математика,Физика,Русский язык,70,78,67.0
31,202100340,2021-06-17,Оптотехника,0,1,1,Математика,Физика,Русский язык,70,78,67.0
32,202100303,2021-06-17,Информационные системы и технологии,0,1,1,Математика,Информатика и ИКТ,Русский язык,98,85,86.0
33,202100303,2021-06-17,Программная инженерия,0,1,1,Математика,Информатика и ИКТ,Русский язык,98,85,86.0
34,202100103,2021-06-17,Интегрированные системы летательных аппаратов,1,1,1,Математика,Информатика и ИКТ,Русский язык,90,65,88.0
35,202100103,2021-06-17,Системы управления летательными аппаратами,0,1,1,Математика,Информатика и ИКТ,Русский язык,90,65,88.0
36,202100304,2021-06-17,Перевод и переводоведение,1,1,2,Иностранный язык,Обществознание,Русский язык,82,63,78.0
37,202100368,2021-06-18,Машиностроение,0,1,1,Математика,Физика,Русский язык,0,0,0.0
38,202100368,2021-06-18,Конструкторско-технологическое обеспечение машиностроительных производств,0,1,1,Математика,Физика,Русский язык,0,0,0.0
39,202100469,2021-06-21,Машиностроение,0,2,2,Математика,Физика,Русский язык,0,0,0.0
40,202100390,2021-06-21,Машиностроение,1,2,2,Математика,Физика,Русский язык,80,57,64.0
41,202100408,2021-06-21,Управление в технических системах,0,1,1,Математика,Физика,Русский язык,82,64,59.0
42,202100408,2021-06-21,Стандартизация и метрология,1,1,1,Математика,Физика,Русский язык,82,64,59.0
43,202100343,2021-06-22,Машиностроение,1,2,2,Математика,Физика,Русский язык,70,49,41.0
44,202100404,2021-06-22,Программная инженерия,0,2,2,Математика,Информатика и ИКТ,Русский язык,84,53,82.0
45,202100404,2021-06-22,Техносферная безопасность,0,2,2,Математика,Информатика и ИКТ,Русский язык,84,53,82.0
46,202100062,2021-06-23,Информатика и вычислительная техника,0,1,1,Математика,Информатика и ИКТ,Русский язык,72,66,67.0
47,202100062,2021-06-23,Информационные системы и технологии,0,1,1,Математика,Информатика и ИКТ,Русский язык,72,66,67.0
48,202100062,2021-06-23,Программная инженерия,0,1,1,Математика,Информатика и ИКТ,Русский язык,72,66,67.0
49,202100014,2021-06-23,Машиностроение,0,2,2,Математика,Физика,Русский язык,0,0,0.0
50,202100112,2021-06-24,Фундаментальная и прикладная лингвистика,1,1,2,Иностранный язык,Математика,Русский язык,80,70,82.0
51,202100622,2021-06-24,Оптотехника,0,1,1,Математика,Физика,Русский язык,72,51,76.0
52,202100622,2021-06-24,Лазерная техника и лазерные технологии,0,1,1,Математика,Физика,Русский язык,72,51,76.0
53,202100622,2021-06-24,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",0,1,1,Математика,Физика,Русский язык,72,51,76.0
54,202100622,2021-06-24,Ракетные комплексы и космонавтика,0,1,1,Математика,Физика,Русский язык,72,51,76.0
55,202100622,2021-06-24,Проектирование авиационных и ракетных двигателей,0,1,1,Математика,Физика,Русский язык,72,51,76.0
56,202100608,2021-06-24,Теплоэнергетика и теплотехника,1,1,1,Математика,Физика,Русский язык,70,57,82.0
57,202100608,2021-06-24,Двигатели летательных аппаратов,0,1,1,Математика,Физика,Русский язык,70,57,82.0
58,202100608,2021-06-24,Стандартизация и метрология,0,1,1,Математика,Физика,Русский язык,70,57,82.0
59,202100608,2021-06-24,Мехатроника и робототехника,0,1,1,Математика,Физика,Русский язык,70,57,82.0
60,202100608,2021-06-24,Прикладная механика,0,1,1,Математика,Физика,Русский язык,70,57,82.0
61,202100609,2021-06-24,Ракетные комплексы и космонавтика,0,1,1,Математика,Физика,Русский язык,72,57,84.0
62,202100609,2021-06-24,Двигатели летательных аппаратов,1,1,1,Математика,Физика,Русский язык,72,57,84.0
63,202100609,2021-06-24,"Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов",0,1,1,Математика,Физика,Русский язык,72,57,84.0
64,202100609,2021-06-24,Проектирование авиационных и ракетных двигателей,0,1,1,Математика,Физика,Русский язык,72,57,84.0
