abiturient_id	add_time	id	name	true	ex	point	eduform_id	fintype_id
202100002	2021-03-04	11	Машиностроение	0	Математика,Физика,Русский язык	0,0,0	2	2
202100004	2021-03-17	30	Боеприпасы и взрыватели	1	Математика,Физика,Русский язык	68,61,82	1	1
202100004	2021-03-17	31	Стрелково-пушечное, артиллерийское и ракетное оружие	0	Математика,Физика,Русский язык	68,61,82	1	1
202100004	2021-03-17	12	Технологические машины и оборудование	0	Математика,Физика,Русский язык	68,61,82	1	1
202100004	2021-03-17	11	Машиностроение	0	Математика,Физика,Русский язык	68,61,82	1	1
202100004	2021-03-17	22	Управление в технических системах	0	Математика,Физика,Русский язык	68,61,82	1	1
202100007	2021-04-06	22	Управление в технических системах	0	Математика,Физика,Русский язык	74,66,87	1	1
202100007	2021-04-06	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	74,66,87	1	1
202100007	2021-04-06	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	74,66,87	1	1
202100007	2021-04-06	10	Энергетическое машиностроение	0	Математика,Физика,Русский язык	74,66,87	1	1
202100008	2021-04-09	11	Машиностроение	1	Математика,Физика,Русский язык	74,55,72	2	2
202100009	2021-04-22	3	Программная инженерия	1	Математика,Информатика и ИКТ,Русский язык	98,88,59	2	2
202100010	2021-04-23	11	Машиностроение	0	Математика,Физика,Русский язык	76,14,36	2	2
202100011	2021-05-13	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	0,0,0	2	2
202100011	2021-05-13	11	Машиностроение	0	Математика,Физика,Русский язык	0,0,0	2	2
202100000	2021-05-16	30	Боеприпасы и взрыватели	0	Математика,Физика,Русский язык	0,0,0	1	1
202100162	2021-06-03	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	0,0,0	2	2
202100151	2021-06-03	26	Фундаментальная и прикладная лингвистика	0	Иностранный язык,Математика,Русский язык	77,70,70	1	2
202100173	2021-06-04	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	56,60,76	1	1
202100173	2021-06-04	3	Программная инженерия	1	Математика,Информатика и ИКТ,Русский язык	56,60,76	1	2
202100231	2021-06-11	1	Информатика и вычислительная техника	0	Математика,Информатика и ИКТ,Русский язык	0,0,0	1	1
202100231	2021-06-11	2	Информационные системы и технологии	0	Математика,Информатика и ИКТ,Русский язык	0,0,0	1	1
202100231	2021-06-11	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	0,0,0	1	1
202100298	2021-06-15	11	Машиностроение	0	Математика,Физика,Русский язык	45,30,54	2	2
202100077	2021-06-16	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	45,14,59	1	1
202100077	2021-06-16	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	45,14,59	1	1
202100339	2021-06-17	23	Экономика	0	Математика,Обществознание,Русский язык	0,0,0	3	2
