iter	Passed	Remaining
0	230	68971
1	251	37537
2	275	27231
3	976	72296
4	1023	60406
5	1266	62069
6	1280	53613
7	1324	48359
8	2081	67297
9	2787	80848
10	2814	73949
11	3619	86867
12	3633	80226
13	4389	89676
14	5000	95018
15	5014	89000
16	5669	94373
17	5725	89692
18	6572	97209
19	6623	92734
20	7432	98746
21	8174	103296
22	8868	106801
23	9505	109309
24	10408	114493
25	10420	109818
26	11315	114412
27	12143	117966
28	12885	120415
29	13507	121570
30	14270	123830
31	14875	124580
32	15703	127055
33	16320	127685
34	17052	129114
35	17723	129970
36	18325	130256
37	19188	132299
38	19755	132212
39	20499	133247
40	21143	133568
41	21153	129940
42	21885	130801
43	22696	132054
44	22739	128854
45	22815	125980
46	23444	126201
47	24178	126937
48	24768	126877
49	25435	127175
50	25442	124217
51	26105	124501
52	27067	126146
53	27873	126979
54	27884	124211
55	28834	125636
56	28898	123197
57	29806	124363
58	30517	124654
59	30579	122317
60	30584	119831
61	31422	120622
62	32061	120613
63	32079	118293
64	32675	118136
65	33338	118199
66	34187	118892
67	35038	119543
68	35060	117375
69	35691	117272
70	36434	117513
71	36461	115460
72	37153	115531
73	37951	115904
74	37959	113877
75	38699	114061
76	39487	114359
77	39666	112896
78	39685	111017
79	39741	109288
80	40321	109017
81	41050	109133
82	41292	107958
83	41908	107763
84	41917	106025
85	42694	106240
86	43466	106418
87	44134	106323
88	44904	106459
89	45643	106501
90	46288	106310
91	46887	106007
92	47613	105978
93	48227	105690
94	48255	104130
95	48283	102602
96	48303	101089
97	48907	100809
98	49608	100720
99	50336	100673
100	51087	100657
101	51659	100280
102	52238	99911
103	52933	99759
104	53738	99800
105	54419	99598
106	55437	99993
107	56207	99924
108	57114	100081
109	58247	100608
110	59050	100545
111	59868	100493
112	60605	100294
113	61188	99833
114	61935	99634
115	62753	99540
116	63408	99178
117	64281	99146
118	64987	98845
119	65795	98692
120	66376	98193
121	67149	97971
122	68019	97882
123	68813	97670
124	69561	97386
125	70254	97018
126	70904	96585
127	71475	96045
128	72201	95709
129	72939	95382
130	73660	95027
131	74268	94523
132	74857	93993
133	75550	93592
134	76251	93196
135	76796	92607
136	77449	92147
137	78555	92216
138	79323	91878
139	80334	91810
140	81007	91348
141	81728	90937
142	82497	90574
143	83268	90207
144	83982	89774
145	84551	89184
146	85319	88802
147	85954	88278
148	86537	87698
149	87179	87179
150	87940	86775
151	88598	86266
152	89293	85791
153	90075	85396
154	90729	84875
155	91492	84454
156	92067	83857
157	92782	83386
158	93481	82899
159	94160	82390
160	94828	81870
161	95547	81392
162	96286	80928
163	97285	80676
164	98460	80558
165	99418	80253
166	100346	79916
167	101295	79589
168	101985	79053
169	102032	78025
170	102775	77532
171	103482	77010
172	104193	76488
173	104941	75992
174	105659	75470
175	106461	75006
176	107247	74527
177	107873	73935
178	108657	73450
179	109270	72847
180	110101	72387
181	110743	71800
182	111489	71280
183	112231	70754
184	113013	70251
185	113692	69682
186	114314	69077
187	115052	68541
188	115773	67993
189	115812	67049
190	116495	66481
191	117130	65885
192	117853	65338
193	118446	64718
194	119083	64122
195	119799	63567
196	120420	62960
197	121185	62428
198	121972	61905
199	122741	61370
200	123446	60802
201	124083	60199
202	124911	59686
203	125751	59177
204	126553	58646
205	127419	58142
206	128224	57608
207	128253	56727
208	128553	55972
209	129285	55408
210	129972	54822
211	130537	54185
212	131212	53593
213	131872	52995
214	132459	52367
215	133026	51732
216	133745	51156
217	134419	50561
218	135141	49983
219	135871	49407
220	136609	48833
221	137406	48277
222	137984	47644
223	138807	47095
224	139435	46478
225	139805	45777
226	140572	45206
227	141460	44671
228	142039	44038
229	142729	43439
230	143468	42854
231	144220	42271
232	144949	41680
233	145588	41063
234	146387	40490
235	146951	39851
236	147640	39246
237	148338	38642
238	148995	38028
239	149569	37392
240	150402	36820
241	151125	36220
242	151333	35497
243	151951	34874
244	152629	34263
245	153439	33681
246	154091	33064
247	154829	32464
248	155357	31820
249	156005	31201
250	156690	30588
251	157282	29958
252	158121	29374
253	158831	28764
254	159457	28139
255	160121	27520
256	160190	26802
257	161005	26210
258	161592	25580
259	162366	24979
260	163019	24359
261	163755	23750
262	164509	23143
263	165116	22515
264	166014	21926
265	166817	21322
266	167556	20709
267	168210	20084
268	168903	19464
269	169602	18844
270	169666	18156
271	170474	17548
272	171185	16930
273	171878	16309
274	172530	15684
275	173356	15074
276	173988	14446
277	174599	13817
278	175322	13196
279	175893	12563
280	176677	11946
281	177480	11328
282	178557	10726
283	179272	10099
284	180098	9478
285	180166	8819
286	181099	8203
287	181986	7582
288	182680	6953
289	183521	6328
290	183787	5684
291	184792	5062
292	185635	4434
293	186415	3804
294	187190	3172
295	187921	2539
296	188503	1904
297	189219	1269
298	190198	636
299	190908	0
